Suggested Bundle Title,FullPrice,DiscountRate,FinalPrice,BundleType,OfferLabel
"Lacoste γυναικεία sneakers μονόχρωμα με κεντημένη λεπτομέρεια πίσω ""L.12.12"" Πορτοκαλί 39 + Ugg γυναικεία mules suede ""Spring Cottage Clog"" Ταμπά 39",199.0,0.15,169.15,Thematic,-15%
"Lacoste γυναικεία sneakers μονόχρωμα με κεντημένη λεπτομέρεια πίσω ""L.12.12"" Πορτοκαλί 37 + Ugg γυναικεία mules suede ""Spring Cottage Clog"" Ταμπά 39",199.0,0.15,169.15,Thematic,-15%
Narciso Rodriguez For Her Pure Musc Eau de Parfum 100ml + Narciso Rodriguez Narciso Eau de Parfum Poudrée 90ml,212.26007672634273,0.2,169.81,Rule-Based,-20%
"3x Lee® γυναικείο τζιν παντελόνι flare ""Breese"" Μαύρο 31W 33L – Offer Pack",188.91,0.1,170.02,Volume,-10%
"3x Lacoste γυναικεία τσάντα ώμου ""Concept Zip Tote"" Μαύρο ONE SIZE – Offer Pack",189.0,0.1,170.1,Volume,-10%
"Lacoste ανδρικά δερμάτινα sneakers μονόχρωμα με ανάγλυφη λεπτομέρεια στο πλάι ""Carnaby Evo"" Nude 43 + Ugg γυναικεία mules suede ""Spring Cottage Clog"" Ταμπά 39",203.0,0.15,172.55,Thematic,-15%
"Lacoste γυναικεία δερμάτινα sneakers ""Powercourt"" Λευκό 39 + BCBGMAXAZRIA γυναικεία σατέν παντελόνα με ελαστική μέση Σομον 44",204.155,0.15,173.53,Thematic,-15%
"3x DOWN TOWN Home Σετ παιδικά σεντόνια μονά με σχέδιο πατούσες ""689"" 175 χ 255 cm (3 τεμάχια) – Offer Pack",193.04999999999998,0.1,173.74,Volume,-10%
2x Lancôme Génifique Ultimate Serum 50ml – Offer Pack,185.69368421052633,0.05,176.41,Volume,-5%
2x BLV pour Homme Eau De Toilette Bvlgari BLV pour Homme Eau De Toilette 100 ml – Offer Pack,188.19555555555556,0.05,178.79,Volume,-5%
2x Jean Paul Gaultier Le Male Le Parfum Jean Paul Gaultier Le Male Le Parfum 125 ml – Offer Pack,188.1957894736842,0.05,178.79,Volume,-5%
"3x C'est Bon κηροπήγιο κρυστάλλινο με γεωμετρικό σχέδιο 25,5 x 10 cm Πολύχρωμο ONE SIZE – Offer Pack",199.5,0.1,179.55,Volume,-10%
"Guess γυναικεία sneakers μονόχρωμα με ανάγλυφο λογότυπο ""Brecky 4"" Λευκό 40 + Lacoste γυναικεία midi φούστα πλισέ με καρό print Λευκό 42",212.0,0.15,180.2,Thematic,-15%
3x Camel Active ανδρική cargo βερμούδα Regular Fit Μπεζ 40 – Offer Pack,200.25,0.1,180.22,Volume,-10%
3x Ralph Lauren Polo Black Eau de Toilette Ralph Lauren Polo Black Eau de Toilette 125 ml – Offer Pack,200.34,0.1,180.31,Volume,-10%
3x Guerlain Parure Gold Skin Control High Perfection Matte Compact Foundation Guerlain Parure Gold Skin Control High Perfection Matte Compact Foundation 2N Neutral – Offer Pack,201.285,0.1,181.16,Volume,-10%
3x Armani Acqua di Giò Profumo Parfum 40ml – Offer Pack,202.62,0.1,182.36,Volume,-10%
Boggi Milano ανδρικό overshirt με τσέπες Oversized Fit Μπλε Σκούρο L + Gant ανδρικό καρό πουκάμισο με μία τσέπη Oxford Regular fit Μπλε L,214.696,0.15,182.49,Thematic,-15%
