Bundle Title,SKU A,SKU B,FinalPrice (€),Duration (days),Expected Sales,Forecasted Revenue (€)
Furia Hand Cleansing Gel Oud Oriental Furia Hand Cleansing Gel Oud Oriental 80 ml + Furia Hand Cleansing Gel Oud Oriental 500ml,9-4817000002,9-4817000000,7.43,0,0,0.0
Furia Hand Cleansing Gel Oud Oriental Furia Hand Cleansing Gel Oud Oriental 80 ml + Furia Hand Cleansing Gel Oud Oriental Furia Hand Cleansing Gel Oud Oriental 500 ml,9-4817000002,9-4817000000,7.43,0,0,0.0
Kiko Milano 3D Hydra Lipgloss - Limited Edition 44 Disruptive Brown + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896004119,9-4896004057,18.78,0,0,0.0
Kiko Milano 3D Hydra Lipgloss - Limited Edition 44 Disruptive Brown + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896004119,9-4896003454,25.17,0,0,0.0
Kiko Milano New Maxi Mod Mascara 12 ml + Kiko Milano Pure Clean Toner 200 ml,9-4896004138,9-4896003805,14.4,0,0,0.0
Kiko Milano New Maxi Mod Mascara 12 ml + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896004138,9-4896003454,22.29,0,0,0.0
Furia Hand Cleansing Gel Oud Oriental Furia Hand Cleansing Gel Oud Oriental 80 ml + Furia Hand Cleansing Gel Oud Oriental 80ml,9-4817000002,9-4817000002,3.77,0,0,0.0
Kiko Milano Sculpting Touch Creamy Stick Contour 201 Chocolate + Kiko Milano Pure Clean Toner 200 ml,9-4896003918,9-4896003805,14.52,0,0,0.0
Guerlain Aqua Allegoria Florabloom Forte  Eau de Parfum 75ml + Guerlain KissKiss Tender Matte Guerlain KissKiss Tender Matte 910 Wanted Red,1083531,1058939,114.51,2,0,0.0
Kiko Milano New Maxi Mod Mascara 12 ml + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896004138,9-4896004057,15.9,0,0,0.0
Guerlain Aqua Allegoria Florabloom Forte  Eau de Parfum 75ml + Guerlain Abeille Royale Advanced Youth Watery Oil 30ml,1083531,1082791,152.7,0,0,0.0
Guerlain Aqua Allegoria Florabloom Forte  Eau de Parfum 75ml + Guerlain L'Homme Idéal Le Parfum Eau de Parfum 100 ml,1083531,1083857,182.74,0,0,0.0
Clarins Gentle Care Roll-On Deodorant 50 ml + Clarins Body Fit Active 200ml,1084042,1083978,54.81,15,0,0.0
Kiko Milano Unlimited Double Touch 120 Rosy Mauve + Kiko Milano Pure Clean Toner 200 ml,9-4896001399,9-4896003805,13.66,0,0,0.0
Kiko Milano Sculpting Touch Creamy Stick Contour 201 Chocolate + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896003918,9-4896003454,22.41,0,0,0.0
Kiko Milano Sculpting Touch Creamy Stick Contour 201 Chocolate + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896003918,9-4896004057,16.03,0,0,0.0
Kiko Milano Unlimited Double Touch 120 Rosy Mauve + Kiko Milano High Pigment Eyeshadow 40 Metallic Ballerina Rose,9-4896001399,9-4896004057,15.17,0,0,0.0
Kiko Milano Unlimited Double Touch 120 Rosy Mauve + Kiko Milano Full Coverage Blurring Powder Foundation Kiko Milano Full Coverage Blurring Powder Foundation 20 Ivory,9-4896001399,9-4896003454,21.56,0,0,0.0
